,Value,Input
168,1,amidala surprised at his reaction studies him carefully
169,1,amidala  beware viceroythe federation is going too far this time
170,1,nute  your highness we would never do anything without the approval of
171,1,the senate you assume too much
172,1,amidala  we will see
173,1,the queen fades off and the view screen goes black
174,1,rune  shes right the senate will never
175,1,nute  its too late now
176,1,rune  do you think she suspects an attack
177,1,nute  i dont know but we must move quickly to disrupt all communications
178,1,down there
179,1,int naboo palace  throne room
180,1,the queen eirtae sache and her governor sio bibble stand before a
181,1,hologram of senator palpatine a thin kindly man
182,1,palpatine  how could that be true i have assurances from the
183,1,chancellorhis ambassaodrs did arrive it must be
184,1,thegetnegotiate
185,1,the hologram of palpatione sputters and fades away
186,1,amidala  senator palpatine turns to panaka whats happening
187,1,captain panaka turns to his sargeant
188,1,capt panaka  check the transmission generators
189,1,bibble  a malfunction
190,1,capt panaka  it could be the federation jamming us your highness
191,1,bibble  a communications disruption can only mean one thing invasion
192,1,amidala  dont jump to conclusions governor the federation would not
193,1,dare go that far
194,1,capt panaka  the senate would revoke their trade franchise and theyd be
195,1,finished
196,1,amidala  we must continue to rely on negotiation
197,1,bibble  negotiation weve lost all communicationsand where atre the
198,1,chancellors ambassadors how can we negotiate we must prepare to defend
199,1,ourselves
200,1,capt panaka  this is a dangerous situation your highness our security
201,1,volunteers will be no match against a battlehardened federation army
202,1,amidala  i will not condone a course of action that will lead us to war
203,1,ext space landing craft  twilight fx
204,1,six landing craft fly in formation toward the surface of the planet naboo
205,1,ext naboo swamp  shallow lake  twilight
206,1,three landing craft slowly descend through the cloud cover of the
207,1,perpetually gray twilight side of the planet one by one the federation
208,1,warships land in the eerie swamp
209,1,obiwans head emerges from the mud of a shallow lake for in the
210,1,background the activities of the invasion force can be seen in the mist
211,1,obiwan takes several deep breaths then dissapears again under the muddy
212,1,swamp troop transports mtts emerge from the landing craft
213,1,ext naboo edge of swamp  grass plains  twilight fx
214,1,the droid invasion force moves out of the swamp and onto a grassy plain
215,1,oom in his tank looks out over the vast army marching across the
216,1,rolling hills a small hologram of rune and nute stands on the tank
217,1,rune  and there is no trace of the jedi they may have gotton onto one
218,1,of your landing craft
219,1,oom  if they are down here sir well find them we are moving out of
220,1,the swamp and are marching on the cities we are meeting no resistance
221,1,nute  excellent
222,1,ext naboo swamp  twilight
223,1,quigon runs through the strange landscape glancing back to see the
224,1,monstrous troop transports emerging from the mist animals begin to run
225,1,past him in a panic
226,1,an odd froglike gungan jar jar inks squats holding a clam he has
227,1,retrieved from the murky swamp the shell pops open jar jars greta tongue
228,1,snaps out and grabs the clam swallowing it in one gulp
229,1,jar jar looks up and sees quigon and the other creatures running like the
230,1,wind toward him one of the huge mtts bears down on the jedi like a
231,1,charging locomotive jar jar stands transfixed still holding the clam
232,1,shell in one hand
233,1,jar jar  oh noooooooooo
234,1,jar jar drops the shell and grabs onto quigon as he passes the jedi is
235,1,caught by surprise
236,1,jar jar  contd hey help me help me
237,1,quigon  let go
238,1,the machine is about tp crush them as quigon drags jar jar behind him
239,1,just as the transport is about to hit them quigon drops and jar jar goes
240,1,splat into the mud with him the transport races overhead
241,1,quigon and jar jar pull themselves out of the mud they stand watching the
242,1,war machine dissapear into the mist jar jar grabs quigon and hugs him
243,1,jar jar  oyi mooiemooie i luv yous
244,1,the froglike creature kisses the jedi
245,1,quigon  are you brainless you almost got us killed
246,1,jar jar  i spake
247,1,quigon  the ability to speak does not make you intelligent now get outta
248,1,here
249,1,quigon starts to move off and jar jar follows
250,1,jar jar  nono mesa staymesa yous humble servaunt
251,1,quigon  that wont be necessary
252,1,jar jar  oh boot tis tis demunded byda guds tis a live debett tis mesa
253,1,culled jaja binkss
254,1,in the distance two staps burst out of the mist at high speed chasing
255,1,obiwan
256,1,quigon  i have no time for this now
257,1,jar jar  say what
258,1,the two staps barrell down on obiwan
259,1,jar jar  contd oh nooooo weesa ganna
260,1,quigon throws jar jar into the mud
261,1,quigon  stay down
262,1,his head pops up
263,1,jar jar  dieeee
264,1,the two troops fire laser bolts at obiwan quigon deflects the bolts
265,1,back and the staps blow up onetwo obiwan is exhausted and tries to
266,1,catch his breath
267,1,obiwan  sorry master the water fried my weapon
268,1,obiwan pulls out his burnt laser sword handle quigon inspects it as jar
269,1,jar pulls himself out of the mud
270,1,quigon  you forgot to turn your power off again didnt you
271,1,obiwan nods sheeplishly
272,1,quigon  contd it wont take long to recharge but this is a lesson i
273,1,hope youve learned my young padawan
274,1,obiwan  yes master
275,1,jar jar  yousa saved my again hey
276,1,obiwan  whats this
277,1,quigon  a local lets go before more of those droids show up
278,1,jar jar  mure mure did you spake
279,1,obiwan and quigon start to run jar jar tries to keep up
280,1,jar jar  contd exsqueeze me but da moto grande safe place would be
281,1,otoh gunga tis where i grew uptis safe city
282,1,they all stop
283,1,quigon  a city jar jar nods his head can you take us there
284,1,jar jar  ahhh willon second tautno not willy
285,1,quigon  no
286,1,jar jar  iss embarrissing boot my afrai myve bean banished my
287,1,forgoten der bosses would do terrible tings to my terrible tings if my
288,1,goen back dare
289,1,a pulsating sound is heard in the distance
290,1,quigon  you hear that
291,1,jar jar shakes his head yes
292,1,quigon  contd thats the sound of a thousand terrible things heading
293,1,this way
294,1,obiwan  when they find us they will crush us grind us into little
295,1,pieces then blast us into oblivion
296,1,jar jar  oh yousa point is well seen dis way hurry
297,1,jar jar turns and runs into the swamp
298,1,ext naboo swamp lake  twilight
299,1,quigon obiwan and jar jar run into a murky lake and stop as jar jar
300,1,tries to catch his breath the transports are heard in the distance
301,1,quigon  much farther
302,1,jar jar  wesa goen underwater okeyday
303,1,quigon and obiwan pull out small capsule from their utility belts that
304,1,turn into breathing masks
305,1,jar jar  contd my warning yous gungans no liken outlaunders dont
306,1,expict a wern welcome
307,1,obiwan  dont worry this has not been our day for warm welcomes
308,1,jar jar jumps does a double somersault with a twist and dives into the
309,1,water
310,1,breath masks on quigon and obiwan wade in after him
311,1,ext naboo lake  underwater
312,1,quigon and obiwan swim behind jar jar who is very much at home in the
313,1,water down they swim into murky depths in the distance the glow of otoh
314,1,gunga an underwater city made up of large bubbles becomes more distinct
315,1,they approach the strange art nouveau habitat jar jar swims magically
316,1,through one of the bubble membranes which seals behind him obiwan and
317,1,quigon follow
318,1,int otoh gunga  city square
319,1,gungans in the square scatter when they see the strange jedi four guards
320,1,armed with long electropoles ride twolegged kaadus into the square the
321,1,guards led by captain tarpals point their lethal poles at the dripping
322,1,trio
323,1,jar jar  heyodalee capn tarpals mesa back
324,1,capt tarpals  noah gain jar jar yousa goen tada bosses yousa in big
325,1,dudu this time
326,1,capt tarpals gives jar jar a slight zap with his power pole jar jar jumps
327,1,and moves off followed by the two jedi
328,1,jar jar  how wude
329,1,int otoh gunga  high tower board room
330,1,the bosses board room has bubble walls with small lighted fish swimming
331,1,around outside like moving stars a long circular judges bench filled with
332,1,gungan officials dominates the room obiwan and quigon stand facing boss
333,1,nass who sits on a bench higher than the others
334,1,boss nass  yousa cannot bees hair dis army of mackineeks up dare tis new
335,1,weesong
336,1,quigon  that droid army is about to attack the naboo we must warn them
337,1,boss nass  wesa no like da naboo un dey no like ussens da naboo tink
338,1,day so smarty den usens day tink day brains so big
339,1,obiwan  after those droids take control of the surface they will come
340,1,here and take control of you
341,1,boss nass  no mesa no tink so mesa scant talkie witda naboo and no
342,1,nutten talkie it outlaunders dos mackineeks no comen here dey not know of
343,1,ussen
344,1,obiwan  you and the naboo form a symbiont circle what happens to noe of
345,1,you will affect the other you must understand this
346,1,boss nass  wesa wish no nutten in yousa tings outlaunder and wesa no
347,1,caren about da naboo
348,1,quigon  waves his hand then speed us on our way
349,1,boss nass  wesa gonna speed yousaway
350,1,quigon  we need a transport
351,1,boss nass  wesa give yousa una bongo da speedest way tooda naboo tis goen
352,1,through da core now go
353,1,quigon  thank you for your help we go in peace
354,1,quigon and obiwan turn to leave
355,1,obiwan  master whats a bongo
356,1,quigon  a transport i hope
357,1,the jedi notice jar jar in chains to one side waiting to hear his verdict
358,1,quigon stops jar jar gives him a forlorn look
359,1,jar jar  daza setten yous up goen through da planet core is bad bombin
360,1,quigon  thank you my friend
361,1,jar jar  ahhhany hep hair would be hot
362,1,jar jars soulful look is counterpointed by a sheepish grin
363,1,obiwan  we are short of time master
364,1,quigon  well need a navigator to get us through the planets core this
365,1,gungan my be of help
366,1,quigon walks bact to boss nass
367,1,quigon  contd what is to become of jar jar binks here
368,1,boss nass  binkss brokeen the nocombackie law hisen to be puneished
369,1,quigon  he has been a great help to us i hope the punishment will not be
370,1,too severe
371,1,boss nass  pounded unto death
372,1,jar jar  grimacing ooooohouch
373,1,obiwan looks concerned quigon is thinking
374,1,quigon  we need a navigator to get us through the planets core i have
375,1,saved jar jar binks life he owes me what you call a lifedebt
376,1,boss nass  binks yousa havena liveplay with thisen hisen
377,1,jar jar nods and joins the jedi quigon waves his hand
378,1,quigon  your gods demand that his life belongs to me now
379,1,boss nass  hisen live tis yos outlauder begone wit him
380,1,jar jar  count mesa outta dis better dead here den deader in da
381,1,coreyee guds whata mesa sayin
382,1,ext naboo city  underwater  sub fx
383,1,a strange little submarine propels itself away from the otoh gunga leaving
384,1,the glow of the settlement in the distance
385,1,int sub cockpit  underwater
386,1,obiwan in the copilots seat jar jar guides the craft
387,1,jar jar  dis is nusen
388,1,obiwan  master why do you keep dragging these pathetic life forms along
389,1,with ushere take over
390,1,jar jar  hey ho where wesa goen
391,1,quigon  youre the navigator
392,1,jar jar  yo dreamen mesa hopenbr quigon  just relax the force will
393,1,guide us
394,1,jar jar  ooooh maxibigda forcewellen dat smells stinkowiff
395,1,jar jar veers the craft to the left and turns the lights on the coral
396,1,vistas are grand fantastic and wonderous
397,1,obiwan  why were you banished jar jar
398,1,jar jar  tis a long tale buta small part wawdabe
399,1,mesaoooohaaaaclumsy
400,1,obiwan  they banished you because youre clumsy
401,1,as the little sub glides into the planet core a large dark shape begins to
402,1,follow
403,1,jar jar  mesa causeed mabee one or duey lettal bitty axadentesyudsay
404,1,boom da gasser un crash der bosses heyblibberden banished
405,1,suddenly there is a loud crash and the little craft lurches to one side
406,1,quigon looks around and sees a huge lumimnous opee sea killer has hooked
407,1,them with its long gooey tongue
408,1,quigon  full speed ahead
409,1,instead of full ahead jar jar jams the controls into reverse the sub
410,1,flies into the mouth of the creature
411,1,jar jar  oooops
412,1,obiwan  give me the controls
413,1,obiwan takes over the controls and the opee sea killer instantly releases
414,1,the sub from its mouth
415,1,jar jar  wesa free
416,1,as the sub zooms away they see a larger set of jaws munching on the
417,1,hapless killer the jaws belong to the incredible sando aqua monster the
418,1,lights on the tiny sub begin to flicker as they cruise deeper into the
419,1,gloom
420,1,quigon  theres always a bigger fish
421,1,int federation battleship  bridge
422,1,nute and rune stand before a hologram of darth sidious
423,1,nute  the invasion is on schedule my lord
424,1,darth sidious  good i have the senate bogged down in procedures by the
425,1,time this incident comes up for a vote they will have no choice but to
426,1,accept your control of the system
427,1,nute  the queen has great faith the senate will side with her
428,1,darth sidious  queen amidala is yound and naive you will find controlling
429,1,her will not be difficult you have done well viceroy
430,1,nute  thank you my lord
431,1,darth sidious fades away
432,1,rune  you didnt tell him about the missing jedi
433,1,nute  no need to report that to him until we have something to report
434,1,int sub cockpit  underwater
435,1,sparks are flying and water is leaking into the cabin the sound of the
436,1,power drive drops
437,1,obiwan  were losing power
438,1,obiwan is working with the sparking wires jar jar panics
439,1,quigon  stay calm were not in trouble yet
440,1,jar jar  what yet monstairs out dare leakn in here alln sinkn and
441,1,nooooo power you nutsen when yousa tink wesa in trouble
442,1,obiwan  powers back
443,1,the lights flicker on revealing an ugly colo claw fish right in front of
444,1,them
445,1,jar jar  monstairs back
446,1,the large colo claw fish is surprised and rears back the sub turns around
447,1,and speeds away
448,1,jar jar  contd wesa in trouble now
449,1,quigon  relax
450,1,quigon puts his hand on jar jars shoulder jar jar relaxes into a coma
451,1,obiwan  you overdid it
452,1,the colo claw fish leaps after the fleeing sub as it shoots out of the
453,1,tunnel and into the waiting jaws of the sando aqua monster
454,1,obiwan contd this is not good
455,1,jar jar regains consciousness
456,1,jar jar  wesa dead yet oie boie
457,1,jar jars eyes bulge and he faints again the sub narrowly avoids the
458,1,deadly teeth of the aqua monster the colo claw fish chasing them isnt so
459,1,lucky it is munched in half by the larger predator the little sub slips
460,1,away
461,1,quigon  head for that outcropping
462,1,ext theed  main road into theed  day fx
463,1,the long columns of the droid army move down the main road leading to
464,1,theed the naboo capital
465,1,ext theed plaza  day fx
466,1,as the queen watches helplessly from a window in the palace a transport
467,1,carrying nute and rune lands in theed plaza they exit the transport
468,1,nute  ah victory
469,1,int naboo lake  underwater  sub fx
470,1,the little sub continue to propel itself toward the surface which is
471,1,brightly lit
472,1,jar jar  wesa dude it
473,1,ext theed  estuary  day
474,1,paradise billowing clouds frame a romantic body of water there is a loud
475,1,rush of bubbles and a small sub bobs to the surface
476,1,the current in the estuary begins to pull the sub backward into a fast
477,1,moving river obiwan switches off the two remaining bubble canopies
478,1,quigon stands up to look around jar jar lets out a sigh of relief
479,1,jar jar  wesa safe now
480,1,quigon  get this thing started
481,1,jar jar  dissen berry good hey
482,1,obiwan  what is it
483,1,jar jar looks back to where theyre drifting he sees they are headed for a
484,1,huge waterfall
485,1,jar jar  what oie boie
486,1,obiwan tries to start the engine the long props behind the sub slowly
487,1,begin to rotate obiwan struggles until finally a few feet short of the
488,1,waterfall the sub starts and is able to generate enough power to stop
489,1,drifting backward in the powerful current the sub slowly moves forward in
490,1,the background quigon takes a cable out of his belt the engine coughs
491,1,and dies they start drifting backward again jar jar panics
492,1,jar jar  contd iyiiyi wesa dien here hey
493,1,quigon shoots the thin cable and it wraps itself around a railing on the
494,1,shore the sub pulls the cable taut and the little craft hangs
495,1,precariously over the edge of the waterfall
496,1,quigon  come on
497,1,obiwan climbs out of the sub and pulls himself along the cable quigon
498,1,starts in after him
499,1,quigon  contd come on jar jar
500,1,jar jar  no too scary
501,1,obiwan  get up here
502,1,jar jar  no a mighty no
503,1,jar jar looks back and sees he is hanging over the waterfall
504,1,jar jar  contd oie boiemesa comen mesa comen
505,1,jar jar starts to climb out of the sub obiwan is on shore and helps to
506,1,pull quigon out of the water
507,1,obiwan  that was close
508,1,battle droid b  os drop your weapons
509,1,the two jedi turn around to see a battle droid standing in front of them
510,1,jar jar climbs up on shore between the jedi
511,1,battle droid b  i said drop your weapons
512,1,quigon ignites his laser sword and in a brief flash the droid is cut
513,1,down by the jedi a stray laser bolt hits the cable and the sub breaks
514,1,lose crashing down the waterfall
515,1,the jedi move on jar jar reluctantly follows and looks back at the mess
516,1,jar jar  whoa
517,1,ext theed  palace  day
518,1,the waterfalls of theed sparkle in the noonday sun
519,1,int theed  palace throne room  day
520,1,queen amidala sio bibble and five of her handmaidens eirtae yane
521,1,padme rabe sache are surrounded by twenty droids captain panaka and
522,1,four naboo guards are also held at gunpoint nute and rune stand in the
523,1,middle of the room
524,1,bibble  how will you explain this invasion to the senate
525,1,nute  the naboo and the federation will forge a treaty that will
526,1,legitimize our occupation here ive been assured it will be ratified by
527,1,the senate
528,1,amidala  i will not cooperate
529,1,nute  now now your highness you are not going to like what we have in
530,1,store for your people in time their suffering will persuade you to see
531,1,our point of view commander oom steps forward process them
532,1,oom  yes sir turns to his sergeant take them to camp four
533,1,the sergeant marches the group out of the throne room
534,1,ext palace  plaza  day
535,1,queen amidala padme eirta yane rabe sache captain panaka sio
536,1,bibble
537,1,and four guards are led out of the palace by ten battle droids the plaza
538,1,is filled with tanks and battle droids which they pass on their way to the
539,1,detention camp unbeknownst to them quigon obiwan and jar jar sneak
540,1,across on a walkway above the plaza and jump from a balcony to begin an
541,1,attack to rescue the queen
542,1,four battle droids are instantly cut down more droids move forward and are
543,1,also cut down by the jedis flashing lightsabres until there is only the
544,1,droid sergeant left the sergeant starts to run but is pulled back to
545,1,quigon by the force until finally he is dispatched by the jedi
546,1,jar jar  yousa guys bombad
547,1,queen amidala and the others are amazed jar jar is getting used to this
548,1,they move between two buildings
549,1,quigon  your highness we are the ambassadors for the supreme
550,1,chancellor
551,1,bibble  your negotiations seem to have failed ambassador
552,1,quigon  the negotiations never took place your highness we must make
553,1,contact with the republic
554,1,captain panaka steps forward
555,1,capt panaka  theyve knocked out all our communications
556,1,quigon  do you have transports
557,1,capt panaka  in the main hanger this way
558,1,they disappear down an alleyway as the alarms are sounded
559,1,int central hanger  hallway  day
560,1,captain panaka cracks open a side door to the central hanger quigon looks
561,1,in over his shoulder obiwan jar jar and the rest of the group are
562,1,behind him they see several naboo spacecraft guarded by about fifty battle
563,1,droids alarms can be heard in the distance
564,1,capt panaka  there are too many of them
565,1,quigon  that wont be a problem to amidala your highness under the
566,1,circumstances isuggest you come to coruscant with us
567,1,amidala  thank you ambassador but my place is here with my people
568,1,quigon  they will kill you if you stay
569,1,bibble  they wouldnt dare
570,1,capt panaka  they need her to sign a treaty to make this invasion of
571,1,theirs legal they cant afford to kill her
572,1,quigon  the situation here is not what it seems there is something else
573,1,behind all this your highness there is no logic in the federations move
574,1,here my feelings tell me they will destroy you
575,1,bibble  please your highness reconsider our only hope is for the senate
576,1,to side with us senator palpatine will need your help
577,1,capt panaka  getting past their blockade is impossible your highness
578,1,any attempt to escape will be dangerous
579,1,bibble  your highness i will stay here and do what i canthey will have
580,1,to retain the council of governors in order to maintain control but you
581,1,must leave
582,1,the queen turns to padme and eirtae
583,1,amidala  either choice presents a great riskto all of us
584,1,padme  we are brave your highness
585,1,quigon  if you are to leave your highness it must be now
586,1,amidala  then i will plead our case before the senate to bibble be
587,1,careful governor
588,1,int central hanger  day
589,1,the door opens to the main hanger quigon obiwan jar jar captain
590,1,panaka two guards and three handmaidens padme eirtae rabe
591,1,followed
592,1,by queen amidala head for a sleek chrome spacecraft sio bibble yane and
593,1,sache stay behind the handmaidens begin to cry
594,1,capt panaka  we need to free those pilots
595,1,captain panaka points to twenty guards ground crew and pilots held in a
596,1,corner by six battle droids
597,1,obiwan  ill take care of that obiwan heads toward the group of
598,1,captured pilots
599,1,quigon and the queen captain panaka jar jar and the rest of the group
600,1,approach the guards at the ramp of the naboo craft
601,1,guard droid  where are you going
602,1,quigon  im ambassador for the supreme chancellor and im taking those
603,1,people to coruscant
604,1,droid guard  youre under arrest
605,1,the droid guard draws his weapon but before any of the droids can fire
606,1,they are cut down other guards run to their aid obiwan attacks the
607,1,guards around the pilots quigon stands fighting off droids as the others
608,1,rush on board the spacecraft obiwan the freed pilots including ric
609,1,olie guards and ground crew members rush on board the ship the other
610,1,pilots and guards race to sio bibblr after everyone has made it onto the
611,1,ship quigonjumps on board alarms sound more droids rush into the hanger
612,1,and fire as the ship takes off
613,1,ext theed  hanger entry  day fx
614,1,the ship exits the hanger battle droids standing in the hanger shoot at
615,1,them
616,1,ext space fx
617,1,the sleek spacecraft speeds away from the planet of naboo and heads for the
618,1,deadly federation blockade
619,1,int naboo spacecraft  cockpit
620,1,the pilot ric olie navigates toward the massive battleship quigon and
621,1,captain panaka watch
622,1,ric olie  our communications are still jammed
623,1,int naboo spacecraft  droid hold
624,1,jar jar is led into a low cramped doorway by obiwan
625,1,obiwan  now stay here and keep out of trouble
626,1,obiwan closes the door jar jar looks around and sees a long row of five
627,1,short dometopped astro droids r units the all look alike except for
628,1,thier paint color and they all seem to be shut down
629,1,jar jar  ello boyos no response disa wanna longo triphey
630,1,jar jar taps a bright red r unit on the head and its head pops up a bit
631,1,he lets out a gasp as he lifts the head
632,1,jar jar  contd tis opensoooops many springs and things come flying
633,1,out
634,1,jar jar quickly closes it again very embarrassed
635,1,jar jar  contd yoi just yoken
636,1,ric olie  powers back that little droid did it he bypassed the main
637,1,power drive deflector shield up at maximum
638,1,the lone blue droid finishes his repairs and goes back into the ship the
639,1,naboo spacecraft races away from the federation battleship
640,1,ric olie  theres not enough power to get us to coruscantthe hyperdrive
641,1,is leaking
642,1,quigon  well have to land somewhere to refuel and repair the ship
643,1,quigon studies a star chart on a monitor
644,1,obiwan  here master tatooine its small out of the way poor the
645,1,trade federation has no presence there
646,1,capt panaka  how can you be sure
647,1,quigon  its controlled by the hutts
648,1,capt panaka  the hutts
649,1,obiwan  its riskybut theres no alternative
650,1,capt panaka  you cant take her royal highness there the hutts are
651,1,gangsters if they discovered her
652,1,quigon  it would be no different than if we landed on a system
653,1,controlled by the federationexcept the hutts arent looking for her
654,1,which gives us an advantage
655,1,cpatain panaka takes a deep breath in frustration
656,1,ext space  naboo spacecraft fx
657,1,the naboo spacecraft races away
658,1,int federation battleship  conference room
659,1,nute and rune sit around a conference table with a hologram of darth
660,1,sidious
661,1,nute  we control all the cities in the north and are searching for any
662,1,other settlements
663,1,darth sidious  destroy all highranking officials
664,1,viceroyslowlyquietly and queen amidala has she signed the treaty
665,1,nute  she has disappeared my lord one naboo cruiser got pat the
666,1,blockade
667,1,darth sidious  viceroy find her i want that treaty signed
668,1,nute  my lord its impossible to locate the ship its out of our range
669,1,darth sidious  not for a sith
