Value,Input
1,nute  close the blast doors
1,the huge very thick blast door slams shut followed by a second door then
1,a third there is a hissing sound as the huge doors seal shut quigon tabs
1,the door with his sword the screen goes black as a red spot appears in the
1,center of the blast door
1,rune  theyre still coming through
1,on the door chunks of molten metal begin to drop away
1,nute  impossible this is impossible
1,rune  where are those destroyer droids
1,int federation battleship  hallway  outside bridge
1,ten ugly destroyer wheel droids roll down the hallway at full speed just
1,before they get to the bridge area they stop and transform into their
1,battle configuration quigon cant see them but senses their presence
1,quigon  destroyer droids
1,obiwan  offhand id say this mission is past the negotiaion stage
1,the wheel droids led by p rush the entry area from three hallways
1,blasting away with their laser guns they stop firing and stand in a
1,semicircle as the smoke clears obiwan and quigon are nowhere to be
1,seen
1,p  switch to biothere they are
1,the jedi materialize at the far end of the hallway and dash through the
1,doorway that slams shut the wheel droids blast away at the two jedi with
1,their laser swords
1,obiwan  they have shield generators
1,quigon  its a standoff lets go
1,int federation battleship  bridge
1,nute and rune stand on the bridge watching the view screen as the wheel
1,droids pov speeds to the doorway
1,rune  we have them on the run sirtheyre no match for destroyer
1,droids
1,tey how  sir theyve gone up the ventilation shaft
1,int federation battleship  main bay
1,quigon and obiwan appear at a large vent in a giant hanger bay they are
1,careful not to be seen thousands of battle droids are loading onto landing
1,craft
1,quigon  battle droids
1,obiwan  its an invisible army
1,quigon  its an odd play for the trade federation weve got to warn the
1,naboo and contact chancellor valorum lets split up stow aboard separate
1,ships and meet down on the planet
1,obiwan  you were right about one thing master the negotiations were
1,short
1,int federation battleship  bridge
1,tey how recieves a transmission
1,tey how  sir a transmission from the planet
1,rune  its queen amidala herself
1,nute  at last were getting results
1,on the view screen queen amidala appears in her throne room wearing her
1,elaborate headdress and robes she sits surrounded by the governing
1,council and four handmaidens eirtae yane rabe and sache
1,nute  contd again you come before me your highness the federation is
1,pleased
1,amidala  you will not be pleased when you hear what i have to say
1,viceroyyour trade boycott of our planet has ended
1,nute smirks at rune
1,nute  i was not aware of such a failure
1,amidala  i have word that the senate is finally voting on this blockade of
1,yours
1,nute  i take it you know the outcome i wonder why they bother to vote
1,amidala  enough of this pretense viceroy im aware the chancellors
1,ambassadors are with you now and that you have beencommanded to reach a
1,settlement
1,nute  i know nothing about any ambassadorsyou must be mistaken
1,amidala surprised at his reaction studies him carefully
1,amidala  beware viceroythe federation is going too far this time
1,nute  your highness we would never do anything without the approval of
1,the senate you assume too much
1,amidala  we will see
1,the queen fades off and the view screen goes black
1,rune  shes right the senate will never
1,nute  its too late now
1,rune  do you think she suspects an attack
1,nute  i dont know but we must move quickly to disrupt all communications
1,down there
1,int naboo palace  throne room
1,the queen eirtae sache and her governor sio bibble stand before a
1,hologram of senator palpatine a thin kindly man
1,palpatine  how could that be true i have assurances from the
1,chancellorhis ambassaodrs did arrive it must be
1,thegetnegotiate
1,the hologram of palpatione sputters and fades away
1,amidala  senator palpatine turns to panaka whats happening
1,captain panaka turns to his sargeant
1,capt panaka  check the transmission generators
1,bibble  a malfunction
1,capt panaka  it could be the federation jamming us your highness
1,bibble  a communications disruption can only mean one thing invasion
1,amidala  dont jump to conclusions governor the federation would not
1,dare go that far
1,capt panaka  the senate would revoke their trade franchise and theyd be
1,finished
1,amidala  we must continue to rely on negotiation
1,bibble  negotiation weve lost all communicationsand where atre the
1,chancellors ambassadors how can we negotiate we must prepare to defend
1,ourselves
1,capt panaka  this is a dangerous situation your highness our security
1,volunteers will be no match against a battlehardened federation army
1,amidala  i will not condone a course of action that will lead us to war
1,ext space landing craft  twilight fx
1,six landing craft fly in formation toward the surface of the planet naboo
1,ext naboo swamp  shallow lake  twilight
1,three landing craft slowly descend through the cloud cover of the
1,perpetually gray twilight side of the planet one by one the federation
1,warships land in the eerie swamp
1,obiwans head emerges from the mud of a shallow lake for in the
1,background the activities of the invasion force can be seen in the mist
1,obiwan takes several deep breaths then dissapears again under the muddy
1,swamp troop transports mtts emerge from the landing craft
1,ext naboo edge of swamp  grass plains  twilight fx
1,the droid invasion force moves out of the swamp and onto a grassy plain
1,oom in his tank looks out over the vast army marching across the
1,rolling hills a small hologram of rune and nute stands on the tank
1,rune  and there is no trace of the jedi they may have gotton onto one
1,of your landing craft
1,oom  if they are down here sir well find them we are moving out of
1,the swamp and are marching on the cities we are meeting no resistance
1,nute  excellent
1,ext naboo swamp  twilight
1,quigon runs through the strange landscape glancing back to see the
1,monstrous troop transports emerging from the mist animals begin to run
1,past him in a panic
1,an odd froglike gungan jar jar inks squats holding a clam he has
1,retrieved from the murky swamp the shell pops open jar jars greta tongue
1,snaps out and grabs the clam swallowing it in one gulp
1,jar jar looks up and sees quigon and the other creatures running like the
1,wind toward him one of the huge mtts bears down on the jedi like a
1,charging locomotive jar jar stands transfixed still holding the clam
1,shell in one hand
1,jar jar  oh noooooooooo
1,jar jar drops the shell and grabs onto quigon as he passes the jedi is
1,caught by surprise
1,jar jar  contd hey help me help me
1,quigon  let go
1,the machine is about tp crush them as quigon drags jar jar behind him
1,just as the transport is about to hit them quigon drops and jar jar goes
1,splat into the mud with him the transport races overhead
1,quigon and jar jar pull themselves out of the mud they stand watching the
1,war machine dissapear into the mist jar jar grabs quigon and hugs him
1,jar jar  oyi mooiemooie i luv yous
1,the froglike creature kisses the jedi
1,quigon  are you brainless you almost got us killed
1,jar jar  i spake
1,quigon  the ability to speak does not make you intelligent now get outta
1,here
1,quigon starts to move off and jar jar follows
1,jar jar  nono mesa staymesa yous humble servaunt
1,quigon  that wont be necessary
1,jar jar  oh boot tis tis demunded byda guds tis a live debett tis mesa
1,culled jaja binkss
1,in the distance two staps burst out of the mist at high speed chasing
1,obiwan
1,quigon  i have no time for this now
1,jar jar  say what
1,the two staps barrell down on obiwan
1,jar jar  contd oh nooooo weesa ganna
1,quigon throws jar jar into the mud
1,quigon  stay down
1,his head pops up
1,jar jar  dieeee
1,the two troops fire laser bolts at obiwan quigon deflects the bolts
1,back and the staps blow up onetwo obiwan is exhausted and tries to
1,catch his breath
1,obiwan  sorry master the water fried my weapon
1,obiwan pulls out his burnt laser sword handle quigon inspects it as jar
1,jar pulls himself out of the mud
1,quigon  you forgot to turn your power off again didnt you
1,obiwan nods sheeplishly
1,quigon  contd it wont take long to recharge but this is a lesson i
1,hope youve learned my young padawan
1,obiwan  yes master
1,jar jar  yousa saved my again hey
1,obiwan  whats this
1,quigon  a local lets go before more of those droids show up
1,jar jar  mure mure did you spake
1,obiwan and quigon start to run jar jar tries to keep up
1,jar jar  contd exsqueeze me but da moto grande safe place would be
1,otoh gunga tis where i grew uptis safe city
1,they all stop
1,quigon  a city jar jar nods his head can you take us there
1,jar jar  ahhh willon second tautno not willy
1,quigon  no
1,jar jar  iss embarrissing boot my afrai myve bean banished my
1,forgoten der bosses would do terrible tings to my terrible tings if my
1,goen back dare
1,a pulsating sound is heard in the distance
1,quigon  you hear that
1,jar jar shakes his head yes
1,quigon  contd thats the sound of a thousand terrible things heading
1,this way
1,obiwan  when they find us they will crush us grind us into little
1,pieces then blast us into oblivion
1,jar jar  oh yousa point is well seen dis way hurry
1,jar jar turns and runs into the swamp
1,ext naboo swamp lake  twilight
1,quigon obiwan and jar jar run into a murky lake and stop as jar jar
1,tries to catch his breath the transports are heard in the distance
1,quigon  much farther
1,jar jar  wesa goen underwater okeyday
1,quigon and obiwan pull out small capsule from their utility belts that
1,turn into breathing masks
1,jar jar  contd my warning yous gungans no liken outlaunders dont
1,expict a wern welcome
1,obiwan  dont worry this has not been our day for warm welcomes
1,jar jar jumps does a double somersault with a twist and dives into the
1,water
1,breath masks on quigon and obiwan wade in after him
1,ext naboo lake  underwater
1,quigon and obiwan swim behind jar jar who is very much at home in the
1,water down they swim into murky depths in the distance the glow of otoh
1,gunga an underwater city made up of large bubbles becomes more distinct
1,they approach the strange art nouveau habitat jar jar swims magically
1,through one of the bubble membranes which seals behind him obiwan and
1,quigon follow
1,int otoh gunga  city square
1,gungans in the square scatter when they see the strange jedi four guards
1,armed with long electropoles ride twolegged kaadus into the square the
1,guards led by captain tarpals point their lethal poles at the dripping
1,trio
1,jar jar  heyodalee capn tarpals mesa back
1,capt tarpals  noah gain jar jar yousa goen tada bosses yousa in big
1,dudu this time
1,capt tarpals gives jar jar a slight zap with his power pole jar jar jumps
1,and moves off followed by the two jedi
1,jar jar  how wude
1,int otoh gunga  high tower board room
1,the bosses board room has bubble walls with small lighted fish swimming
1,around outside like moving stars a long circular judges bench filled with
1,gungan officials dominates the room obiwan and quigon stand facing boss
1,nass who sits on a bench higher than the others
1,boss nass  yousa cannot bees hair dis army of mackineeks up dare tis new
1,weesong
1,quigon  that droid army is about to attack the naboo we must warn them
1,boss nass  wesa no like da naboo un dey no like ussens da naboo tink
1,day so smarty den usens day tink day brains so big
1,obiwan  after those droids take control of the surface they will come
1,here and take control of you
1,boss nass  no mesa no tink so mesa scant talkie witda naboo and no
1,nutten talkie it outlaunders dos mackineeks no comen here dey not know of
1,ussen
1,obiwan  you and the naboo form a symbiont circle what happens to noe of
1,you will affect the other you must understand this
1,boss nass  wesa wish no nutten in yousa tings outlaunder and wesa no
1,caren about da naboo
1,quigon  waves his hand then speed us on our way
1,boss nass  wesa gonna speed yousaway
1,quigon  we need a transport
1,boss nass  wesa give yousa una bongo da speedest way tooda naboo tis goen
1,through da core now go
1,quigon  thank you for your help we go in peace
1,quigon and obiwan turn to leave
1,obiwan  master whats a bongo
1,quigon  a transport i hope
1,the jedi notice jar jar in chains to one side waiting to hear his verdict
1,quigon stops jar jar gives him a forlorn look
1,jar jar  daza setten yous up goen through da planet core is bad bombin
1,quigon  thank you my friend
1,jar jar  ahhhany hep hair would be hot
1,jar jars soulful look is counterpointed by a sheepish grin
1,obiwan  we are short of time master
1,quigon  well need a navigator to get us through the planets core this
1,gungan my be of help
1,quigon walks bact to boss nass
1,quigon  contd what is to become of jar jar binks here
1,boss nass  binkss brokeen the nocombackie law hisen to be puneished
1,quigon  he has been a great help to us i hope the punishment will not be
1,too severe
1,boss nass  pounded unto death
1,jar jar  grimacing ooooohouch
1,obiwan looks concerned quigon is thinking
1,quigon  we need a navigator to get us through the planets core i have
1,saved jar jar binks life he owes me what you call a lifedebt
1,boss nass  binks yousa havena liveplay with thisen hisen
1,jar jar nods and joins the jedi quigon waves his hand
1,quigon  your gods demand that his life belongs to me now
1,boss nass  hisen live tis yos outlauder begone wit him
1,jar jar  count mesa outta dis better dead here den deader in da
1,coreyee guds whata mesa sayin
1,ext naboo city  underwater  sub fx
1,a strange little submarine propels itself away from the otoh gunga leaving
1,the glow of the settlement in the distance
1,int sub cockpit  underwater
1,obiwan in the copilots seat jar jar guides the craft
1,jar jar  dis is nusen
1,obiwan  master why do you keep dragging these pathetic life forms along
1,with ushere take over
1,jar jar  hey ho where wesa goen
1,quigon  youre the navigator
1,jar jar  yo dreamen mesa hopenbr quigon  just relax the force will
1,guide us
1,jar jar  ooooh maxibigda forcewellen dat smells stinkowiff
1,jar jar veers the craft to the left and turns the lights on the coral
1,vistas are grand fantastic and wonderous
1,obiwan  why were you banished jar jar
1,jar jar  tis a long tale buta small part wawdabe
1,mesaoooohaaaaclumsy
1,obiwan  they banished you because youre clumsy
1,as the little sub glides into the planet core a large dark shape begins to
1,follow
1,jar jar  mesa causeed mabee one or duey lettal bitty axadentesyudsay
1,boom da gasser un crash der bosses heyblibberden banished
1,suddenly there is a loud crash and the little craft lurches to one side
1,quigon looks around and sees a huge lumimnous opee sea killer has hooked
1,them with its long gooey tongue
1,quigon  full speed ahead
1,instead of full ahead jar jar jams the controls into reverse the sub
1,flies into the mouth of the creature
1,jar jar  oooops
1,obiwan  give me the controls
1,obiwan takes over the controls and the opee sea killer instantly releases
1,the sub from its mouth
1,jar jar  wesa free
1,as the sub zooms away they see a larger set of jaws munching on the
1,hapless killer the jaws belong to the incredible sando aqua monster the
1,lights on the tiny sub begin to flicker as they cruise deeper into the
1,gloom
1,quigon  theres always a bigger fish
1,int federation battleship  bridge
1,nute and rune stand before a hologram of darth sidious
1,nute  the invasion is on schedule my lord
1,darth sidious  good i have the senate bogged down in procedures by the
1,time this incident comes up for a vote they will have no choice but to
1,accept your control of the system
1,nute  the queen has great faith the senate will side with her
1,darth sidious  queen amidala is yound and naive you will find controlling
1,her will not be difficult you have done well viceroy
1,nute  thank you my lord
1,darth sidious fades away
1,rune  you didnt tell him about the missing jedi
1,nute  no need to report that to him until we have something to report
1,int sub cockpit  underwater
1,sparks are flying and water is leaking into the cabin the sound of the
1,power drive drops
1,obiwan  were losing power
1,obiwan is working with the sparking wires jar jar panics
1,quigon  stay calm were not in trouble yet
1,jar jar  what yet monstairs out dare leakn in here alln sinkn and
1,nooooo power you nutsen when yousa tink wesa in trouble
1,obiwan  powers back
1,the lights flicker on revealing an ugly colo claw fish right in front of
1,them
1,jar jar  monstairs back
1,the large colo claw fish is surprised and rears back the sub turns around
1,and speeds away
1,jar jar  contd wesa in trouble now
1,quigon  relax
1,quigon puts his hand on jar jars shoulder jar jar relaxes into a coma
1,obiwan  you overdid it
1,the colo claw fish leaps after the fleeing sub as it shoots out of the
1,tunnel and into the waiting jaws of the sando aqua monster
1,obiwan contd this is not good
1,jar jar regains consciousness
1,jar jar  wesa dead yet oie boie
1,jar jars eyes bulge and he faints again the sub narrowly avoids the
1,deadly teeth of the aqua monster the colo claw fish chasing them isnt so
1,lucky it is munched in half by the larger predator the little sub slips
1,away
1,quigon  head for that outcropping
1,ext theed  main road into theed  day fx
1,the long columns of the droid army move down the main road leading to
1,theed the naboo capital
1,ext theed plaza  day fx
1,as the queen watches helplessly from a window in the palace a transport
1,carrying nute and rune lands in theed plaza they exit the transport
1,nute  ah victory
1,int naboo lake  underwater  sub fx
1,the little sub continue to propel itself toward the surface which is
1,brightly lit
1,jar jar  wesa dude it
1,ext theed  estuary  day
1,paradise billowing clouds frame a romantic body of water there is a loud
1,rush of bubbles and a small sub bobs to the surface
1,the current in the estuary begins to pull the sub backward into a fast
1,moving river obiwan switches off the two remaining bubble canopies
1,quigon stands up to look around jar jar lets out a sigh of relief
1,jar jar  wesa safe now
1,quigon  get this thing started
1,jar jar  dissen berry good hey
1,obiwan  what is it
1,jar jar looks back to where theyre drifting he sees they are headed for a
1,huge waterfall
1,jar jar  what oie boie
1,obiwan tries to start the engine the long props behind the sub slowly
1,begin to rotate obiwan struggles until finally a few feet short of the
1,waterfall the sub starts and is able to generate enough power to stop
1,drifting backward in the powerful current the sub slowly moves forward in
1,the background quigon takes a cable out of his belt the engine coughs
1,and dies they start drifting backward again jar jar panics
1,jar jar  contd iyiiyi wesa dien here hey
1,quigon shoots the thin cable and it wraps itself around a railing on the
1,shore the sub pulls the cable taut and the little craft hangs
1,precariously over the edge of the waterfall
1,quigon  come on
1,obiwan climbs out of the sub and pulls himself along the cable quigon
1,starts in after him
1,quigon  contd come on jar jar
1,jar jar  no too scary
1,obiwan  get up here
1,jar jar  no a mighty no
1,jar jar looks back and sees he is hanging over the waterfall
1,jar jar  contd oie boiemesa comen mesa comen
1,jar jar starts to climb out of the sub obiwan is on shore and helps to
1,pull quigon out of the water
1,obiwan  that was close
1,battle droid b  os drop your weapons
1,the two jedi turn around to see a battle droid standing in front of them
1,jar jar climbs up on shore between the jedi
1,battle droid b  i said drop your weapons
1,quigon ignites his laser sword and in a brief flash the droid is cut
1,down by the jedi a stray laser bolt hits the cable and the sub breaks
1,lose crashing down the waterfall
1,the jedi move on jar jar reluctantly follows and looks back at the mess
1,jar jar  whoa
1,ext theed  palace  day
1,the waterfalls of theed sparkle in the noonday sun
1,int theed  palace throne room  day
1,queen amidala sio bibble and five of her handmaidens eirtae yane
1,padme rabe sache are surrounded by twenty droids captain panaka and
1,four naboo guards are also held at gunpoint nute and rune stand in the
1,middle of the room
1,bibble  how will you explain this invasion to the senate
1,nute  the naboo and the federation will forge a treaty that will
1,legitimize our occupation here ive been assured it will be ratified by
1,the senate
1,amidala  i will not cooperate
1,nute  now now your highness you are not going to like what we have in
1,store for your people in time their suffering will persuade you to see
1,our point of view commander oom steps forward process them
1,oom  yes sir turns to his sergeant take them to camp four
1,the sergeant marches the group out of the throne room
1,ext palace  plaza  day
1,queen amidala padme eirta yane rabe sache captain panaka sio
1,bibble
1,and four guards are led out of the palace by ten battle droids the plaza
1,is filled with tanks and battle droids which they pass on their way to the
1,detention camp unbeknownst to them quigon obiwan and jar jar sneak
1,across on a walkway above the plaza and jump from a balcony to begin an
1,attack to rescue the queen
1,four battle droids are instantly cut down more droids move forward and are
1,also cut down by the jedis flashing lightsabres until there is only the
1,droid sergeant left the sergeant starts to run but is pulled back to
1,quigon by the force until finally he is dispatched by the jedi
1,jar jar  yousa guys bombad
1,queen amidala and the others are amazed jar jar is getting used to this
1,they move between two buildings
1,quigon  your highness we are the ambassadors for the supreme
1,chancellor
1,bibble  your negotiations seem to have failed ambassador
1,quigon  the negotiations never took place your highness we must make
1,contact with the republic
1,captain panaka steps forward
1,capt panaka  theyve knocked out all our communications
1,quigon  do you have transports
1,capt panaka  in the main hanger this way
1,they disappear down an alleyway as the alarms are sounded
1,int central hanger  hallway  day
1,captain panaka cracks open a side door to the central hanger quigon looks
1,in over his shoulder obiwan jar jar and the rest of the group are
1,behind him they see several naboo spacecraft guarded by about fifty battle
1,droids alarms can be heard in the distance
1,capt panaka  there are too many of them
1,quigon  that wont be a problem to amidala your highness under the
1,circumstances isuggest you come to coruscant with us
1,amidala  thank you ambassador but my place is here with my people
1,quigon  they will kill you if you stay
1,bibble  they wouldnt dare
1,capt panaka  they need her to sign a treaty to make this invasion of
1,theirs legal they cant afford to kill her
1,quigon  the situation here is not what it seems there is something else
1,behind all this your highness there is no logic in the federations move
1,here my feelings tell me they will destroy you
1,bibble  please your highness reconsider our only hope is for the senate
1,to side with us senator palpatine will need your help
1,capt panaka  getting past their blockade is impossible your highness
1,any attempt to escape will be dangerous
1,bibble  your highness i will stay here and do what i canthey will have
1,to retain the council of governors in order to maintain control but you
1,must leave
1,the queen turns to padme and eirtae
1,amidala  either choice presents a great riskto all of us
1,padme  we are brave your highness
1,quigon  if you are to leave your highness it must be now
1,amidala  then i will plead our case before the senate to bibble be
1,careful governor
1,int central hanger  day
1,the door opens to the main hanger quigon obiwan jar jar captain
1,panaka two guards and three handmaidens padme eirtae rabe
1,followed
1,by queen amidala head for a sleek chrome spacecraft sio bibble yane and
1,sache stay behind the handmaidens begin to cry
1,capt panaka  we need to free those pilots
1,captain panaka points to twenty guards ground crew and pilots held in a
1,corner by six battle droids
1,obiwan  ill take care of that obiwan heads toward the group of
1,captured pilots
1,quigon and the queen captain panaka jar jar and the rest of the group
1,approach the guards at the ramp of the naboo craft
1,guard droid  where are you going
1,quigon  im ambassador for the supreme chancellor and im taking those
1,people to coruscant
1,droid guard  youre under arrest
1,the droid guard draws his weapon but before any of the droids can fire
1,they are cut down other guards run to their aid obiwan attacks the
1,guards around the pilots quigon stands fighting off droids as the others
1,rush on board the spacecraft obiwan the freed pilots including ric
1,olie guards and ground crew members rush on board the ship the other
1,pilots and guards race to sio bibblr after everyone has made it onto the
1,ship quigonjumps on board alarms sound more droids rush into the hanger
1,and fire as the ship takes off
1,ext theed  hanger entry  day fx
1,the ship exits the hanger battle droids standing in the hanger shoot at
1,them
1,ext space fx
1,the sleek spacecraft speeds away from the planet of naboo and heads for the
1,deadly federation blockade
1,int naboo spacecraft  cockpit
1,the pilot ric olie navigates toward the massive battleship quigon and
1,captain panaka watch
1,ric olie  our communications are still jammed
1,int naboo spacecraft  droid hold
1,jar jar is led into a low cramped doorway by obiwan
1,obiwan  now stay here and keep out of trouble
1,obiwan closes the door jar jar looks around and sees a long row of five
1,short dometopped astro droids r units the all look alike except for
1,thier paint color and they all seem to be shut down
1,jar jar  ello boyos no response disa wanna longo triphey
1,jar jar taps a bright red r unit on the head and its head pops up a bit
1,he lets out a gasp as he lifts the head
1,jar jar  contd tis opensoooops many springs and things come flying
1,out
1,jar jar quickly closes it again very embarrassed
1,jar jar  contd yoi just yoken
1,ric olie  powers back that little droid did it he bypassed the main
1,power drive deflector shield up at maximum
1,the lone blue droid finishes his repairs and goes back into the ship the
1,naboo spacecraft races away from the federation battleship
1,ric olie  theres not enough power to get us to coruscantthe hyperdrive
1,is leaking
1,quigon  well have to land somewhere to refuel and repair the ship
1,quigon studies a star chart on a monitor
1,obiwan  here master tatooine its small out of the way poor the
1,trade federation has no presence there
1,capt panaka  how can you be sure
1,quigon  its controlled by the hutts
1,capt panaka  the hutts
1,obiwan  its riskybut theres no alternative
1,capt panaka  you cant take her royal highness there the hutts are
1,gangsters if they discovered her
1,quigon  it would be no different than if we landed on a system
1,controlled by the federationexcept the hutts arent looking for her
1,which gives us an advantage
1,cpatain panaka takes a deep breath in frustration
1,ext space  naboo spacecraft fx
1,the naboo spacecraft races away
1,int federation battleship  conference room
1,nute and rune sit around a conference table with a hologram of darth
1,sidious
1,nute  we control all the cities in the north and are searching for any
1,other settlements
1,darth sidious  destroy all highranking officials
1,viceroyslowlyquietly and queen amidala has she signed the treaty
1,nute  she has disappeared my lord one naboo cruiser got pat the
1,blockade
1,darth sidious  viceroy find her i want that treaty signed
1,nute  my lord its impossible to locate the ship its out of our range
1,darth sidious  not for a sith
1,a second sith lord appears behind darth sidious
1,darth sidious  contd viceroy this is my apprentice lord maul he
1,will find your lost ship
1,nute  yes my lord the hologram fades off
1,nute  contd this is getting out of handnow there are two of them
1,rune  we should not have made this bargain what will happen when the jedi
1,become aware of these sith lords
1,int naboo spacecraft  queens chambers
1,quigon obiwan captain panaka and the little blue droid stand before
1,queen amidala and her three handmaidens padme eirtae and rabe
1,capt panaka  an extremely well put together little droid without a
1,doubt it saved the ship as well as our lives
1,amidala  it is to be commendedwhat is its number
1,the little blue droid lets out a series of bleepscaptain panaka leans over
1,and scrapes some dirt off of the side of the droid and read the number
1,capt panaka  rd your highness
1,amidala  thank you artoo detoo you have proven to be very loyalpadme
1,padme bows before the queen
1,amidala  contd clean this droid up the best you can it deserves our
1,gratitudeto panaka continue captain
1,captain panaka looks nervously to obiwan and quigon
1,quigon  yor highness we are heading for a remote planet called tatooine
1,it is a system far beyond the reach of the trade federation there we will
1,be able to make needed repairs then travel on to coruscant
1,captain panaka  your highness tatooine is very dangerous its controlled
1,by an alliance of gangs called the hutts i do not agree with the jedi on
1,this
1,quigon  you must trust my judgement your highness
1,amidala and padme exchange looks padme moves next to the droid
1,int naboo spacecraft  main area
1,padme sits in the main area cleaning rd the brave little astra droid
1,jar jar pops out of an open door
1,jar jar  hidoe
1,both padme and artoo jump and let out a little scream the gungan is
1,embarrassed that he frightened them
1,jar jar  contd sorry nomeanen to scare yousa
1,padme  thats all right
1,jar jar  i scovered oily back dare needen it
1,padme  thank you this little guy is quite a mess
1,jar jar hands padme the oil can
1,jar jar  mesa ja ja binksss padme  im padme i attend her highness
1,youre a gungan arent you jar jar nods how did you end up here with
1,us
1,jar jar  me no knowmesa day starten pitty okeyday witda brisky morning
1,munchen den boomgetten berry skeered un grabbed dat jedi and before
1,mesa knowen itpow mesa here he shrugsgetten berry berry skeered
1,artoo beeps a sympathetic beep
1,int anboo spacecraft  cockpit
1,obiwan quigon and captain panaka watch over ric olies shoulder a
1,large yellow planet appears directly ahead ric olie searches his scopes
1,obiwan  tahyts it tatooine
1,ric olie  theres a settlementa spaceport looks like
1,quigon  land near the outskirts we dont want to attract any attention
1,ext tatooine  space fx
1,the ship heads toward the planet of tatooine
1,ext tatooine  desert  naboo spacecraft  day fx
1,the naboo spacecraft lands in the desert in a swirl of dust the spaceport
1,of mos espa is seen in the distance
1,ext naboo spacecraft  main area
1,obiwan is hoisting the hyperdrive out of a floor panel jar jar rushes up
1,to him and falls to his knees
1,jar jar  obiwan sire pleeese no mesa go
1,obiwan  sorry quigons right youll make things less obvious
1,jar jar walks back to artoo in the hallway as quigon dressed as a farmer
1,enters the main area
